Organism                                                      Scaffold              Start    End      Score  LLS_Dehydrogenase  LLS_E1-like  LLS_LlsA  LLS_YcaO
Listeria monocytogenes FSL R8-5402                            JOWY01000010.1        626551   629658   4.21   1                  1            0         1       
Listeria monocytogenes FSL R8-5760                            NZ_JOXO01000008.1     154068   159380   5.22   1                  1            1         1       
Listeria monocytogenes FSL R8-5760                            JOXO01000008.1        154068   157175   4.21   1                  1            0         1       
Listeria monocytogenes FSL R8-6046                            NZ_JOYG01000010.1     624346   629658   5.22   1                  1            1         1       
Listeria monocytogenes FSL R8-6046                            JOYG01000010.1        626551   629658   4.21   1                  1            0         1       
Listeria monocytogenes FSL R8-6607                            NZ_JOZN01000010.1     154068   159380   5.22   1                  1            1         1       
Listeria monocytogenes FSL R8-6607                            JOZN01000010.1        154068   157175   4.21   1                  1            0         1       
Listeria monocytogenes FSL R8-6918                            NZ_JPAP01000020.1     519      5831     5.22   1                  1            1         1       
Listeria monocytogenes FSL R8-6918                            JPAP01000020.1        519      3626     4.21   1                  1            0         1       
Listeria monocytogenes FSL R8-7006                            NZ_JPAT01000028.1     232      5149     5.19   1                  1            1         1       
Listeria monocytogenes FSL R8-7006                            JPAT01000028.1        2437     5149     4.18   1                  1            0         1       
Listeria monocytogenes FSL R8-7057                            NZ_JPAX01000009.1     624346   629658   5.22   1                  1            1         1       
Listeria monocytogenes FSL R8-7057                            JPAX01000009.1        626551   629658   4.21   1                  1            0         1       
Listeria monocytogenes FSL R8-7348                            NZ_JPBG01000009.1     624325   629637   5.22   1                  1            1         1       
Listeria monocytogenes FSL R8-7348                            JPBG01000009.1        626530   629637   4.21   1                  1            0         1       
Listeria monocytogenes FSL R8-7389                            NZ_JPBI01000009.1     624327   629639   5.22   1                  1            1         1       
Listeria monocytogenes FSL R8-7389                            JPBI01000009.1        626532   629639   4.21   1                  1            0         1       
Listeria monocytogenes FSL R8-7450                            NZ_JPBL01000008.1     154068   159380   5.22   1                  1            1         1       
Listeria monocytogenes FSL R8-7450                            JPBL01000008.1        154068   157175   4.21   1                  1            0         1       
Listeria monocytogenes FSL R8-7761                            NZ_JPCE01000008.1     82210    87522    5.22   1                  1            1         1       
Listeria monocytogenes FSL R8-7761                            JPCE01000008.1        82210    85317    4.21   1                  1            0         1       
Listeria monocytogenes BHU1                                   NZ_JUKE01000007.1     153002   158315   5.22   1                  1            1         1       
Listeria monocytogenes BHU2                                   NZ_JUKF01000013.1     22711    28024    5.22   1                  1            1         1       
Listeria monocytogenes BHU3                                   NZ_JUKG01000001.1     111796   117107   5.22   1                  1            1         1       
Listeria monocytogenes 15KSM                                  NZ_JYOT01000020.1     3793     9105     5.22   1                  1            1         1       
Listeria monocytogenes 15KSM                                  JYOT01000020.1        3793     6900     4.21   1                  1            0         1       
Listeria monocytogenes CDPHFDLB-F14M01297-C2                  NZ_LFVS02000022.1     380      5692     5.22   1                  1            1         1       
Listeria monocytogenes CDPHFDLB-F14M01297-C2                  LFVS02000022.1        380      3487     4.21   1                  1            0         1       
Listeria monocytogenes CDPHFDLB-F14M01297-C4                  NZ_LFVT02000017.1     292034   297346   5.22   1                  1            1         1       
Listeria monocytogenes CDPHFDLB-F14M01297-C4                  LFVT02000017.1        294239   297346   4.21   1                  1            0         1       
Listeria monocytogenes MOD1_LS1011                            NZ_LHRY01000001.1     292191   297503   5.22   1                  1            1         1       
Listeria monocytogenes MOD1_LS1011                            NZ_MTFK01000007.1     587814   593126   5.22   1                  1            1         1       
Listeria monocytogenes MOD1_LS1011                            LHRY01000001.1        294396   297503   4.21   1                  1            0         1       
Listeria monocytogenes MOD1_LS1009                            NZ_LHRZ01000001.1     587872   593184   5.22   1                  1            1         1       
Listeria monocytogenes MOD1_LS1009                            LHRZ01000001.1        587872   590979   4.21   1                  1            0         1       
Listeria monocytogenes MOD1_LS1005                            NZ_LHSA01000001.1     587869   593181   5.22   1                  1            1         1       
Listeria monocytogenes MOD1_LS1005                            LHSA01000001.1        587869   590976   4.21   1                  1            0         1       
Listeria monocytogenes MOD1_LS996                             NZ_LHSB01000001.1     587868   593180   5.22   1                  1            1         1       
Listeria monocytogenes MOD1_LS996                             LHSB01000001.1        587868   590975   4.21   1                  1            0         1       
Listeria monocytogenes MOD1_LS1010                            NZ_LHSC01000001.1     587872   593184   5.22   1                  1            1         1       
Listeria monocytogenes MOD1_LS1010                            NZ_MTFN01000001.1     630835   636147   5.22   1                  1            1         1       
Listeria monocytogenes MOD1_LS1010                            LHSC01000001.1        587872   590979   4.21   1                  1            0         1       
Listeria monocytogenes MOD1_LS1004                            NZ_LHSD01000001.1     587874   593186   5.22   1                  1            1         1       
Listeria monocytogenes MOD1_LS1004                            LHSD01000001.1        587874   590981   4.21   1                  1            0         1       
Listeria monocytogenes LM83                                   NZ_LIKU01000017.1     23001    28313    5.22   1                  1            1         1       
Listeria monocytogenes LM83                                   LIKU01000017.1        25206    28313    4.21   1                  1            0         1       
Listeria monocytogenes 944                                    NZ_LJPD01000008.1     591908   597220   5.22   1                  1            1         1       
Listeria monocytogenes 944                                    LJPD01000008.1        591908   595015   4.21   1                  1            0         1       
Listeria monocytogenes 2993                                   NZ_LJPF01000010.1     143      5455     5.22   1                  1            1         1       
Listeria monocytogenes 2993                                   LJPF01000010.1        143      5455     5.22   1                  1            1         1       
Listeria monocytogenes SLCC208                                NZ_LMXJ01000001.1     386335   391647   5.22   1                  1            1         1       
Listeria monocytogenes SLCC208                                LMXJ01000001.1        388540   391647   4.21   1                  1            0         1       
Listeria monocytogenes MOD1_LS271                             NZ_LNNQ01000012.1     22063    27375    5.22   1                  1            1         1       
Listeria monocytogenes MOD1_LS988                             NZ_LNNV01000004.1     587991   593303   5.22   1                  1            1         1       
Listeria monocytogenes MOD1_LS990                             NZ_LNNW01000005.1     22062    27374    5.22   1                  1            1         1       
Listeria monocytogenes MOD1_LS993                             NZ_LNNX01000011.1     22062    27374    5.22   1                  1            1         1       
Listeria monocytogenes MOD1_LS997                             NZ_LNOA01000005.1     563647   568959   5.22   1                  1            1         1       
Listeria monocytogenes MOD1_LS1000                            NZ_LNOB01000009.1     80615    85927    5.22   1                  1            1         1       
Listeria monocytogenes MOD1_LS41                              NZ_LNOC01000007.1     630150   635462   5.22   1                  1            1         1       
Listeria monocytogenes MOD1_LS41                              QOSO01000001.1        148254   151361   4.21   1                  1            0         1       
Listeria monocytogenes MOD1_LS50                              NZ_LNOE01000018.1     22063    27375    5.22   1                  1            1         1       
Listeria monocytogenes MOD1_LS50                              NZ_QOSN01000001.1     114806   120118   5.22   1                  1            1         1       
Listeria monocytogenes MOD1_LS50                              QOSN01000001.1        114806   117913   4.21   1                  1            0         1       
Listeria monocytogenes FDA824917-3A                           NZ_LNPM01000002.1     630042   635354   5.22   1                  1            1         1       
Listeria monocytogenes FDA824917-4A                           NZ_LNPN01000002.1     25518    30830    5.22   1                  1            1         1       
Listeria monocytogenes FDA824917-5A                           NZ_LNPO01000007.1     288426   293738   5.22   1                  1            1         1       
Listeria monocytogenes FDA824917-6A                           NZ_LNPP01000001.1     630277   635589   5.22   1                  1            1         1       
Listeria monocytogenes FDA824917-7A                           NZ_LNPQ01000008.1     308212   313524   5.22   1                  1            1         1       
Listeria monocytogenes PNUSAL001157                           NZ_LNSL01000026.1     5185     10497    5.22   1                  1            1         1       
Listeria monocytogenes PNUSAL001166                           NZ_LNSM01000006.1     22062    27374    5.22   1                  1            1         1       
Listeria monocytogenes PNUSAL000730                           NZ_LNSN01000006.1     22062    27374    5.22   1                  1            1         1       
Listeria monocytogenes PNUSAL001024                           NZ_LNSO01000004.1     587091   592403   5.22   1                  1            1         1       
Listeria monocytogenes PNUSAL000870                           NZ_LNSP01000005.1     587232   592544   5.22   1                  1            1         1       
Listeria monocytogenes PNUSAL000957                           NZ_LNSQ01000002.1     587454   592766   5.22   1                  1            1         1       
Listeria monocytogenes FDA824917-10A                          NZ_LNSR01000003.1     587530   592842   5.22   1                  1            1         1       
Listeria monocytogenes CFSAN026594                            NZ_LSPU01000001.1     114771   120083   5.22   1                  1            1         1       
Listeria monocytogenes CFSAN026594                            LSPU01000001.1        114771   117878   4.21   1                  1            0         1       
Listeria monocytogenes CFSAN026593                            NZ_LSPV01000001.1     80456    85768    5.22   1                  1            1         1       
Listeria monocytogenes CFSAN026593                            LSPV01000001.1        80456    83563    4.21   1                  1            0         1       
Listeria monocytogenes CFSAN026592                            NZ_LUEL01000001.1     114771   120083   5.22   1                  1            1         1       
Listeria monocytogenes CFSAN026592                            LUEL01000001.1        114771   117878   4.21   1                  1            0         1       
Listeria monocytogenes CFSAN026591                            NZ_LUEM01000001.1     114771   120083   5.22   1                  1            1         1       
Listeria monocytogenes CFSAN026591                            LUEM01000001.1        114771   117878   4.21   1                  1            0         1       
Listeria monocytogenes CFSAN026590                            NZ_LUEN01000001.1     114771   120083   5.22   1                  1            1         1       
Listeria monocytogenes CFSAN026590                            LUEN01000001.1        114771   117878   4.21   1                  1            0         1       
Listeria monocytogenes CFSAN026589                            NZ_LUEO01000001.1     284121   289433   5.22   1                  1            1         1       
Listeria monocytogenes CFSAN026589                            LUEO01000001.1        286326   289433   4.21   1                  1            0         1       
Listeria monocytogenes CFSAN026588                            NZ_LUEP01000001.1     284121   289433   5.22   1                  1            1         1       
Listeria monocytogenes CFSAN026588                            LUEP01000001.1        286326   289433   4.21   1                  1            0         1       
Listeria monocytogenes FDA894066-6-A                          NZ_LYXY01000001.1     630210   635522   5.22   1                  1            1         1       
Listeria monocytogenes Lm219                                  NZ_MDMM01000016.1     116481   121793   5.22   1                  1            1         1       
Listeria monocytogenes Lm219                                  MDMM01000016.1        116481   119588   4.21   1                  1            0         1       
Listeria monocytogenes Lm217                                  NZ_MDMO01000014.1     116472   121784   5.22   1                  1            1         1       
Listeria monocytogenes Lm217                                  MDMO01000014.1        116472   119579   4.21   1                  1            0         1       
Listeria monocytogenes Lm215                                  NZ_MDMQ01000020.1     595415   600727   5.22   1                  1            1         1       
Listeria monocytogenes Lm215                                  MDMQ01000020.1        595415   598522   4.21   1                  1            0         1       
Listeria monocytogenes Lm213                                  NZ_MDMR01000014.1     595416   600728   5.22   1                  1            1         1       
Listeria monocytogenes Lm213                                  MDMR01000014.1        595416   598523   4.21   1                  1            0         1       
Listeria monocytogenes A147                                   NZ_MDOV01000141.1     106317   111629   5.22   1                  1            1         1       
Listeria monocytogenes A147                                   MDOV01000141.1        106317   109424   4.21   1                  1            0         1       
Listeria monocytogenes OCF54                                  NZ_MDPC01000011.1     615936   621248   5.22   1                  1            1         1       
Listeria monocytogenes OCF54                                  MDPC01000011.1        618141   621248   4.21   1                  1            0         1       
Listeria monocytogenes Lm88                                   NZ_MDPF01000013.1     645769   651081   5.22   1                  1            1         1       
Listeria monocytogenes Lm88                                   MDPF01000013.1        647974   651081   4.21   1                  1            0         1       
Listeria monocytogenes Lm77                                   NZ_MDPI01000013.1     645251   650563   5.22   1                  1            1         1       
Listeria monocytogenes Lm77                                   MDPI01000013.1        647456   650563   4.21   1                  1            0         1       
Listeria monocytogenes Lm69                                   NZ_MDPJ01000013.1     645253   650565   5.22   1                  1            1         1       
Listeria monocytogenes Lm69                                   MDPJ01000013.1        647458   650565   4.21   1                  1            0         1       
Listeria monocytogenes Lm230                                  NZ_MDPT01000011.1     616717   622029   5.22   1                  1            1         1       
Listeria monocytogenes Lm230                                  MDPT01000011.1        618922   622029   4.21   1                  1            0         1       
Listeria monocytogenes Lm191                                  NZ_MDPU01000015.1     116433   121745   5.22   1                  1            1         1       
Listeria monocytogenes Lm191                                  MDPU01000015.1        116433   119540   4.21   1                  1            0         1       
Listeria monocytogenes Lm227                                  NZ_MDPV01000013.1     116433   121745   5.22   1                  1            1         1       
Listeria monocytogenes Lm227                                  MDPV01000013.1        116433   119540   4.21   1                  1            0         1       
Listeria monocytogenes Lm225                                  NZ_MDPX01000016.1     608062   613374   5.22   1                  1            1         1       
Listeria monocytogenes Lm225                                  MDPX01000016.1        610267   613374   4.21   1                  1            0         1       
Listeria monocytogenes Lm224                                  NZ_MDPY01000020.1     608628   613940   5.22   1                  1            1         1       
Listeria monocytogenes Lm224                                  MDPY01000020.1        610833   613940   4.21   1                  1            0         1       
Listeria monocytogenes Lm220                                  NZ_MDQC01000014.1     645726   651038   5.22   1                  1            1         1       
Listeria monocytogenes Lm220                                  MDQC01000014.1        647931   651038   4.21   1                  1            0         1       
Listeria monocytogenes Lm210                                  NZ_MDQG01000015.1     116874   122186   5.22   1                  1            1         1       
Listeria monocytogenes Lm210                                  MDQG01000015.1        116874   119981   4.21   1                  1            0         1       
Listeria monocytogenes A5                                     NZ_MDRB01000012.1     591813   597125   5.22   1                  1            1         1       
Listeria monocytogenes A5                                     MDRB01000012.1        591813   594920   4.21   1                  1            0         1       
Listeria monocytogenes A31                                    NZ_MDRF01000017.1     595416   600728   5.22   1                  1            1         1       
Listeria monocytogenes A31                                    MDRF01000017.1        595416   598523   4.21   1                  1            0         1       
Listeria monocytogenes OLM 10                                 NZ_MIMA01000008.1     114216   119528   5.22   1                  1            1         1       
Listeria monocytogenes CFSAN002298                            NZ_MJCM01000014.1     591836   597148   5.22   1                  1            1         1       
Listeria monocytogenes CFSAN002298                            MJCM01000014.1        591836   594943   4.21   1                  1            0         1       
Listeria monocytogenes BCW_2415                               NZ_MJCN01000017.1     116647   121959   5.22   1                  1            1         1       
Listeria monocytogenes BCW_2415                               MJCN01000017.1        116647   119754   4.21   1                  1            0         1       
Listeria monocytogenes BCW_2416                               NZ_MJCO01000012.1     610224   615536   5.22   1                  1            1         1       
Listeria monocytogenes BCW_2416                               MJCO01000012.1        612429   615536   4.21   1                  1            0         1       
Listeria monocytogenes BCW_2417                               NZ_MJCP01000013.1     591030   596342   5.22   1                  1            1         1       
Listeria monocytogenes BCW_2417                               MJCP01000013.1        591030   594137   4.21   1                  1            0         1       
Listeria monocytogenes BCW_3911                               NZ_MJNJ01000013.1     115073   120385   5.22   1                  1            1         1       
Listeria monocytogenes BCW_3911                               MJNJ01000013.1        115073   118180   4.21   1                  1            0         1       
Listeria monocytogenes BCW_3921                               NZ_MJNT01000016.1     620274   625586   5.22   1                  1            1         1       
Listeria monocytogenes BCW_3921                               MJNT01000016.1        622479   625586   4.21   1                  1            0         1       
Listeria monocytogenes BCW_3924                               NZ_MJNW01000014.1     116646   121958   5.22   1                  1            1         1       
Listeria monocytogenes BCW_3924                               MJNW01000014.1        116646   119753   4.21   1                  1            0         1       
Listeria monocytogenes BCW_3927                               NZ_MJNZ01000015.1     591995   597307   5.22   1                  1            1         1       
Listeria monocytogenes BCW_3927                               MJNZ01000015.1        591995   595102   4.21   1                  1            0         1       
Listeria monocytogenes BCW_3930                               NZ_MJOC01000014.1     618381   623693   5.22   1                  1            1         1       
Listeria monocytogenes BCW_3930                               MJOC01000014.1        620586   623693   4.21   1                  1            0         1       
Listeria monocytogenes BCW_3943                               NZ_MJOQ01000017.1     145665   150977   5.22   1                  1            1         1       
Listeria monocytogenes BCW_3943                               MJOQ01000017.1        145665   148772   4.21   1                  1            0         1       
Listeria monocytogenes BCW_4255                               NZ_MJOW01000016.1     116810   122122   5.22   1                  1            1         1       
Listeria monocytogenes BCW_4255                               MJOW01000016.1        116810   119917   4.21   1                  1            0         1       
Listeria monocytogenes BCW_4256                               NZ_MJOX01000027.1     471754   477066   5.22   1                  1            1         1       
Listeria monocytogenes BCW_4256                               MJOX01000027.1        473959   477066   4.21   1                  1            0         1       
Listeria monocytogenes BCW_4276                               NZ_MJPR01000012.1     155732   161044   5.22   1                  1            1         1       
Listeria monocytogenes BCW_4276                               MJPR01000012.1        155732   158839   4.21   1                  1            0         1       
Listeria monocytogenes BCW_4281                               NZ_MJPW01000022.1     631678   636990   5.22   1                  1            1         1       
Listeria monocytogenes BCW_4281                               MJPW01000022.1        633883   636990   4.21   1                  1            0         1       
Listeria monocytogenes BCW_4295                               NZ_MJQJ01000044.1     151265   156577   5.22   1                  1            1         1       
Listeria monocytogenes BCW_4295                               MJQJ01000044.1        151265   154372   4.21   1                  1            0         1       
Listeria monocytogenes BCW_4299                               NZ_MJQN01000013.1     18483    23795    5.22   1                  1            1         1       
Listeria monocytogenes BCW_4299                               MJQN01000013.1        18483    21590    4.21   1                  1            0         1       
Listeria monocytogenes BCW_4302                               NZ_MJQQ01000013.1     116421   121733   5.22   1                  1            1         1       
Listeria monocytogenes BCW_4302                               MJQQ01000013.1        116421   119528   4.21   1                  1            0         1       
Listeria monocytogenes BCW_4773                               NZ_MJRQ01000014.1     590047   595359   5.22   1                  1            1         1       
Listeria monocytogenes BCW_4773                               MJRQ01000014.1        590047   593154   4.21   1                  1            0         1       
Listeria monocytogenes BCW_4777                               NZ_MJRU01000013.1     18483    23795    5.22   1                  1            1         1       
Listeria monocytogenes BCW_4777                               MJRU01000013.1        18483    21590    4.21   1                  1            0         1       
Listeria monocytogenes BCW_4780                               NZ_MJRW01000015.1     591852   597164   5.22   1                  1            1         1       
Listeria monocytogenes BCW_4780                               MJRW01000015.1        591852   594959   4.21   1                  1            0         1       
Listeria monocytogenes BCW_4785                               NZ_MJSB01000012.1     150125   155437   5.22   1                  1            1         1       
Listeria monocytogenes BCW_4785                               MJSB01000012.1        150125   153232   4.21   1                  1            0         1       
Listeria monocytogenes BCW_4787                               NZ_MJSD01000018.1     150125   155437   5.22   1                  1            1         1       
Listeria monocytogenes BCW_4787                               MJSD01000018.1        150125   153232   4.21   1                  1            0         1       
Listeria monocytogenes NRRL B-57066                           NZ_MJSH01000014.1     116475   121787   5.22   1                  1            1         1       
Listeria monocytogenes NRRL B-57066                           MJSH01000014.1        116475   119582   4.21   1                  1            0         1       
Listeria monocytogenes CFSAN002257                            NZ_MJSJ01000017.1     590647   595959   5.22   1                  1            1         1       
Listeria monocytogenes CFSAN002257                            MJSJ01000017.1        590647   593754   4.21   1                  1            0         1       
Listeria monocytogenes BCW_2355                               NZ_MJSL01000029.1     595014   600326   5.22   1                  1            1         1       
Listeria monocytogenes BCW_2355                               MJSL01000029.1        595014   598121   4.21   1                  1            0         1       
Listeria monocytogenes BCW_2356                               NZ_MJSM01000009.1     18483    23795    5.22   1                  1            1         1       
Listeria monocytogenes BCW_2356                               MJSM01000009.1        18483    21590    4.21   1                  1            0         1       
Listeria monocytogenes BCW_2357                               NZ_MJSN01000021.1     594986   600298   5.22   1                  1            1         1       
Listeria monocytogenes BCW_2357                               MJSN01000021.1        594986   598093   4.21   1                  1            0         1       
Listeria monocytogenes BCW_2363                               NZ_MJSR01000026.1     595088   600400   5.22   1                  1            1         1       
Listeria monocytogenes BCW_2363                               MJSR01000026.1        595088   598195   4.21   1                  1            0         1       
Listeria monocytogenes BCW_2371                               NZ_MJSY01000017.1     609881   615193   5.22   1                  1            1         1       
Listeria monocytogenes BCW_2371                               MJSY01000017.1        612086   615193   4.21   1                  1            0         1       
Listeria monocytogenes BCW_2380                               NZ_MJTG01000018.1     18473    23785    5.22   1                  1            1         1       
Listeria monocytogenes BCW_2380                               MJTG01000018.1        18473    21580    4.21   1                  1            0         1       
Listeria monocytogenes BCW_2381                               NZ_MJTH01000017.1     610221   615533   5.22   1                  1            1         1       
Listeria monocytogenes BCW_2381                               MJTH01000017.1        612426   615533   4.21   1                  1            0         1       
Listeria monocytogenes CFSAN002250                            NZ_MJTM01000018.1     610222   615534   5.22   1                  1            1         1       
Listeria monocytogenes CFSAN002250                            MJTM01000018.1        612427   615534   4.21   1                  1            0         1       
Listeria monocytogenes BCW_2388                               NZ_MJTO01000013.1     610226   615538   5.22   1                  1            1         1       
Listeria monocytogenes BCW_2388                               MJTO01000013.1        612431   615538   4.21   1                  1            0         1       
Listeria monocytogenes BCW_2390                               NZ_MJTQ01000016.1     590524   595836   5.22   1                  1            1         1       
Listeria monocytogenes BCW_2390                               MJTQ01000016.1        590524   593631   4.21   1                  1            0         1       
Listeria monocytogenes CFSAN002283                            NZ_MJTX01000015.1     636803   642115   5.22   1                  1            1         1       
Listeria monocytogenes CFSAN002283                            MJTX01000015.1        636803   639910   4.21   1                  1            0         1       
Listeria monocytogenes CFSAN002284                            NZ_MJTY01000018.1     647258   652570   5.22   1                  1            1         1       
Listeria monocytogenes CFSAN002284                            MJTY01000018.1        649463   652570   4.21   1                  1            0         1       
Listeria monocytogenes BCW_2403                               NZ_MJUB01000017.1     156433   161728   3.16   1                  0            1         1       
Listeria monocytogenes NRRL B-33047                           NZ_MKMD01000015.1     114981   120293   5.22   1                  1            1         1       
Listeria monocytogenes NRRL B-33047                           MKMD01000015.1        114981   118088   4.21   1                  1            0         1       
Listeria monocytogenes NRRL B-33073                           NZ_MKME01000021.1     569138   574450   5.22   1                  1            1         1       
Listeria monocytogenes NRRL B-33073                           MKME01000021.1        571343   574450   4.21   1                  1            0         1       
Listeria monocytogenes NRRL B-33095                           NZ_MKMI01000014.1     610225   615537   5.22   1                  1            1         1       
Listeria monocytogenes NRRL B-33095                           MKMI01000014.1        612430   615537   4.21   1                  1            0         1       
Listeria monocytogenes NRRL B-33126                           NZ_MKMM01000023.1     116848   122160   5.22   1                  1            1         1       
Listeria monocytogenes NRRL B-33126                           MKMM01000023.1        116848   119955   4.21   1                  1            0         1       
Listeria monocytogenes NRRL B-33140                           NZ_MKMN01000020.1     18483    23795    5.22   1                  1            1         1       
Listeria monocytogenes NRRL B-33140                           MKMN01000020.1        18483    21590    4.21   1                  1            0         1       
Listeria monocytogenes NRRL B-33570                           NZ_MKOP01000033.1     656297   661608   5.22   1                  1            1         1       
Listeria monocytogenes NRRL B-33570                           MKOP01000033.1        658501   661608   4.21   1                  1            0         1       
Listeria monocytogenes NRRL B-33571                           NZ_MKOQ01000019.1     583077   588389   5.22   1                  1            1         1       
Listeria monocytogenes NRRL B-33571                           MKOQ01000019.1        585282   588389   4.21   1                  1            0         1       
Listeria monocytogenes NRRL B-33582                           NZ_MKOT01000014.1     591754   597066   5.22   1                  1            1         1       
Listeria monocytogenes NRRL B-33582                           MKOT01000014.1        591754   594861   4.21   1                  1            0         1       
Listeria monocytogenes NRRL B-33590                           NZ_MKOW01000023.1     587148   592460   5.22   1                  1            1         1       
Listeria monocytogenes NRRL B-33590                           NZ_MTFR01000001.1     620964   626276   5.22   1                  1            1         1       
Listeria monocytogenes NRRL B-33590                           MKOW01000023.1        587148   590255   4.21   1                  1            0         1       
Listeria monocytogenes NRRL B-33596                           NZ_MKOY01000023.1     19703    25015    5.22   1                  1            1         1       
Listeria monocytogenes NRRL B-33596                           MKOY01000023.1        19703    22810    4.21   1                  1            0         1       
Listeria monocytogenes NRRL B-33600                           NZ_MKOZ01000020.1     114989   120301   5.22   1                  1            1         1       
Listeria monocytogenes NRRL B-33600                           MKOZ01000020.1        114989   118096   4.21   1                  1            0         1       
Listeria monocytogenes NRRL B-33615                           NZ_MKPB01000014.1     18483    23795    5.22   1                  1            1         1       
Listeria monocytogenes NRRL B-33615                           MKPB01000014.1        18483    21590    4.21   1                  1            0         1       
Listeria monocytogenes NRRL B-33644                           NZ_MKPE01000012.1     18473    23785    5.22   1                  1            1         1       
Listeria monocytogenes NRRL B-33644                           MKPE01000012.1        18473    21580    4.21   1                  1            0         1       
Listeria monocytogenes NRRL B-33794                           NZ_MKPI01000011.1     591846   597158   5.22   1                  1            1         1       
Listeria monocytogenes NRRL B-33794                           MKPI01000011.1        591846   594953   4.21   1                  1            0         1       
Listeria monocytogenes NRRL B-33812                           NZ_MKPQ01000032.1     18497    23809    5.22   1                  1            1         1       
Listeria monocytogenes NRRL B-33812                           MKPQ01000032.1        18497    21604    4.21   1                  1            0         1       
Listeria monocytogenes J3422                                  NZ_MNCC01000021.1     22056    27370    5.22   1                  1            1         1       
Listeria monocytogenes J3422                                  MNCC01000021.1        24263    27370    4.21   1                  1            0         1       
Listeria monocytogenes J4600                                  NZ_MNCD01000013.1     31227    36539    5.22   1                  1            1         1       
Listeria monocytogenes J4600                                  MNCD01000013.1        33432    36539    4.21   1                  1            0         1       
Listeria monocytogenes BS-26                                  NZ_MPBE01000005.1     31503    36815    5.22   1                  1            1         1       
Listeria monocytogenes BS-26                                  MPBE01000005.1        33708    36815    4.21   1                  1            0         1       
Listeria monocytogenes FDA915555-02                           NZ_MRYJ01000040.1     542      5854     5.22   1                  1            1         1       
Listeria monocytogenes CDPHFDLB-F14M01770.86-1                NZ_MSDN01000018.1     22063    27375    5.22   1                  1            1         1       
Listeria monocytogenes CDPHFDLB-F14M01770.86-1                NZ_NYPB01000001.1     2982     8294     5.22   1                  1            1         1       
Listeria monocytogenes FDA895132-4                            NZ_MTCL01000005.1     151587   156899   5.22   1                  1            1         1       
Listeria monocytogenes MOD1_LS1002                            NZ_MTDE01000001.1     587444   592756   5.22   1                  1            1         1       
Listeria monocytogenes MOD1_LS978                             NZ_MTDF01000002.1     151587   156899   5.22   1                  1            1         1       
Listeria monocytogenes MOD1_LS984                             NZ_MTDG01000001.1     587444   592756   5.22   1                  1            1         1       
Listeria monocytogenes MOD1_LS999                             NZ_MTDH01000004.1     438287   443599   5.22   1                  1            1         1       
Listeria monocytogenes MOD1_LS991                             NZ_MTDI01000003.1     288358   293670   5.22   1                  1            1         1       
Listeria monocytogenes MOD1_LS979                             NZ_MTDJ01000001.1     587971   593283   5.22   1                  1            1         1       
Listeria monocytogenes PNUSAL000441                           NZ_MTDK01000001.1     630625   635937   5.22   1                  1            1         1       
Listeria monocytogenes PNUSAL001135                           NZ_MTDL01000015.1     80526    85838    5.22   1                  1            1         1       
Listeria monocytogenes MOD1_LS992                             NZ_MTDM01000005.1     587814   593126   5.22   1                  1            1         1       
Listeria monocytogenes PNUSAL000904                           NZ_MTDN01000001.1     673487   678799   5.22   1                  1            1         1       
Listeria monocytogenes PNUSAL000972                           NZ_MTDO01000002.1     630625   635937   5.22   1                  1            1         1       
Listeria monocytogenes PNUSAL000982                           NZ_MTDP01000002.1     22544    27856    5.22   1                  1            1         1       
Listeria monocytogenes PNUSAL001151                           NZ_MTDQ01000004.1     292066   297378   5.22   1                  1            1         1       
Listeria monocytogenes PNUSAL001177                           NZ_MTDR01000003.1     421062   426374   5.22   1                  1            1         1       
Listeria monocytogenes PNUSAL001180                           NZ_MTDS01000001.1     608384   613696   5.22   1                  1            1         1       
Listeria monocytogenes PNUSAL001182                           NZ_MTDT01000002.1     608898   614210   5.22   1                  1            1         1       
Listeria monocytogenes PNUSAL001186                           NZ_MTDU01000001.1     80485    85797    5.22   1                  1            1         1       
Listeria monocytogenes PNUSAL001188                           NZ_MTDV01000001.1     629386   634698   5.22   1                  1            1         1       
Listeria monocytogenes PNUSAL001195                           NZ_MTDW01000001.1     444510   449822   5.22   1                  1            1         1       
Listeria monocytogenes FDA895132-1                            NZ_MTEZ01000007.1     292145   297457   5.22   1                  1            1         1       
Listeria monocytogenes FDA895132-3                            NZ_MTFA01000008.1     45108    50420    5.22   1                  1            1         1       
Listeria monocytogenes PNUSAL001067                           NZ_MTFB01000024.1     83       5395     5.22   1                  1            1         1       
Listeria monocytogenes PNUSAL001411                           NZ_MTFC01000004.1     587451   592763   5.22   1                  1            1         1       
Listeria monocytogenes CDPHFDLB-F15M03122-1                   NZ_MTFD01000009.1     22161    26167    4.13   1                  1            1         0       
Listeria monocytogenes MOD1_LS1008                            NZ_MTFF01000003.1     630849   636161   5.22   1                  1            1         1       
Listeria monocytogenes MOD1_LS989                             NZ_MTFG01000001.1     587443   592755   5.22   1                  1            1         1       
Listeria monocytogenes MOD1_LS985                             NZ_MTFI01000002.1     71760    77072    5.22   1                  1            1         1       
Listeria monocytogenes MOD1_LS1003                            NZ_MTFJ01000002.1     587444   592756   5.22   1                  1            1         1       
Listeria monocytogenes MOD1_LS1006                            NZ_MTFL01000003.1     292347   297659   5.22   1                  1            1         1       
