Organism,Scaffold,Start,End,Score,WP_338009895.1,WP_006328028.1,WP_020439796.1,WP_006328024.1,WP_006328022.1
Xenorhabdus sp. PB30.3,JAGJJV010000025.1,1299,17049,9.65,1,1,1,1,1,
Xenorhabdus sp. CS20,NZ_JBBMXG010000001.1,249141,265003,9.65,1,1,1,1,1,
Xenorhabdus sp. 42,NZ_JACXBD010000003.1,47423,63250,9.65,1,1,1,1,1,
Xenorhabdus sp. ZM,NZ_JACXBG010000067.1,48169,64008,9.65,1,1,1,1,1,
Xenorhabdus sp. 5,NZ_JACXBC010000011.1,53620,69423,9.65,1,1,1,1,1,
Xenorhabdus sp. CUL,NZ_JACXBI010000033.1,47477,63280,9.65,1,1,1,1,1,
Xenorhabdus sp. M,NZ_JACXBF010000237.1,47451,63278,9.65,1,1,1,1,1,
Xenorhabdus sp. 38,NZ_JACXBK010000014.1,54677,70510,9.65,1,1,1,1,1,
Xenorhabdus cabanillasii DSM 17905,NZ_QTUB01000001.1,2522681,2538539,9.67,1,1,1,1,1,
Xenorhabdus cabanillasii JM26,NZ_CBXE010000186.1,48798,64671,9.67,1,1,1,1,1,
Xenorhabdus cabanillasii JM26,NZ_NJGH01000020.1,14782,30655,9.67,1,1,1,1,1,
Xenorhabdus sp. NBAII XenSa04,NZ_CAWMEB010000421.1,33012,48924,9.67,1,1,1,1,1,
Xenorhabdus indica NBAII SC04,NZ_JAJJOW010000192.1,50918,66830,9.67,1,1,1,1,1,
Xenorhabdus indica,NZ_CAWPSA010000045.1,32967,48897,9.67,1,1,1,1,1,
Xenorhabdus indica DSM 17382,NZ_NKHP01000017.1,32967,48897,9.67,1,1,1,1,1,
Xenorhabdus hominickii,NZ_CAWNQJ010000068.1,321525,337457,9.67,1,1,1,1,1,
Xenorhabdus hominickii ANU1,NZ_CP016176.1,285197,301129,9.67,1,1,1,1,1,
Xenorhabdus hominickii ANU1,CP016176.1,291575,301129,7.43,0,1,1,1,1,
Xenorhabdus hominickii DSM 17903,NZ_NJAI01000004.1,321525,337457,9.67,1,1,1,1,1,
Xenorhabdus cabanillasii JM26,NZ_CAWLVK010000186.1,48798,64671,9.67,1,1,1,1,1,
Xenorhabdus cabanillasii JM26,NZ_CAWNQM010000113.1,14782,30655,9.67,1,1,1,1,1,
Photorhabdus temperata subsp. temperata M1021,NZ_CAWLXI010000024.1,17007,30068,5.57,1,1,1,0,0,
Xenorhabdus budapestensis C-7-2,NZ_CP072455.1,1591751,1607643,9.66,1,1,1,1,1,
Xenorhabdus budapestensis,NZ_CAWNNJ010000046.1,54619,70511,9.66,1,1,1,1,1,
Xenorhabdus budapestensis DSM 16342,NZ_NIBS01000014.1,54619,70511,9.66,1,1,1,1,1,
Xenorhabdus stockiae,NZ_CAWNRH010000001.1,141714,157510,9.65,1,1,1,1,1,
Xenorhabdus stockiae DSM 17904,NZ_NJAJ01000001.1,141714,157510,9.65,1,1,1,1,1,
Xenorhabdus sp. KJ12.1,NZ_CAWNQH010000061.1,162402,178198,9.65,1,1,1,1,1,
Xenorhabdus sp. KK7.4,NZ_CAWNQF010000111.1,44975,60701,9.65,1,1,1,1,1,
Xenorhabdus sp. PB61.4,NZ_CAWQJR010000002.1,33794,49599,9.65,1,1,1,1,1,
Xenorhabdus innexi,NZ_CAWNQC010000001.1,51115,66410,9.65,1,1,1,1,1,
Xenorhabdus innexi,NZ_CAWRBJ010000001.1,636896,652191,9.65,1,1,1,1,1,
Xenorhabdus innexi HGB1681 (deposited as PTA-6826 in the American Type Culture Collection),NZ_LT699767.1,636896,652191,9.65,1,1,1,1,1,
Xenorhabdus innexi HGB1681 (deposited as PTA-6826 in the American Type Culture Collection),FTLG01000188.1,139921,155216,9.65,1,1,1,1,1,
Xenorhabdus innexi DSM 16336,NZ_NIBU01000001.1,51115,66410,9.65,1,1,1,1,1,
Xenorhabdus innexi DSM 16336,NIBU01000001.1,51115,66410,9.65,1,1,1,1,1,
Xenorhabdus sp. PB30.3,NZ_CAWQMW010000117.1,1299,17049,9.65,1,1,1,1,1,
Xenorhabdus szentirmaii,NZ_CAWNPE010000001.1,325716,341498,9.65,1,1,1,1,1,
Xenorhabdus szentirmaii US123,NZ_NIUA01000001.1,325716,341498,9.65,1,1,1,1,1,
Xenorhabdus szentirmaii PAM25,NZ_JBEBLZ010000027.1,48399,64226,9.65,1,1,1,1,1,
Xenorhabdus szentirmaii DSM 16338,NZ_CBXF010000078.1,0,13221,5.53,1,1,1,0,0,
Xenorhabdus szentirmaii DSM 16338,NZ_NIBV01000002.1,2059824,2075687,9.65,1,1,1,1,1,
Xenorhabdus szentirmaii DSM 16338,NZ_CAWLWS010000078.1,0,13221,5.53,1,1,1,0,0,
Xenorhabdus szentirmaii DSM 16338,NZ_CAWNPB010000012.1,2059824,2075687,9.65,1,1,1,1,1,
Chitinivorax sp. B,NZ_SCOH01000006.1,73053,89549,9.61,1,1,1,1,1,
Candidatus Celerinatantimonas neptuna,OU461276.1,3400268,3416456,9.61,1,1,1,1,1,
Chitinivorax tropicus DSM 27165,NZ_JACHHY010000001.1,36766,53233,9.60,1,1,1,1,1,
Aquabacterium sp. A7-Y,NZ_JAPFBW010000017.1,85653,102005,9.59,1,1,1,1,1,
Aquabacterium sp.,SCTQ01000368.1,8043,17467,7.37,0,1,1,1,1,
Paludibacterium paludis KCTC 32182,NZ_BMYX01000008.1,113591,129849,9.59,1,1,1,1,1,
Paludibacterium paludis KCTC 32182,BMYX01000008.1,113591,129849,9.59,1,1,1,1,1,
Paludibacterium paludis BCRC 80514,NZ_CP069161.1,659308,675566,9.59,1,1,1,1,1,
Chromobacterium haemolyticum GD04138,NZ_JAODZN010000001.1,62736,79399,9.59,1,1,1,1,1,
Chromobacterium haemolyticum C-61,NZ_CAEE01000552.1,4460,9821,5.23,0,0,1,1,1,
Chromobacterium haemolyticum UGAL515B_03,NZ_CP109905.1,186072,202914,9.56,1,1,1,1,1,
Chromobacterium haemolyticum ZR-1,NZ_JAEILV010000002.1,242986,259829,9.59,1,1,1,1,1,
Chromobacterium haemolyticum WJ-5,NZ_JAFLRD010000002.1,242986,259829,9.59,1,1,1,1,1,
Chromobacterium haemolyticum JD-14,NZ_JAFLRE010000002.1,141465,158308,9.59,1,1,1,1,1,
Chromobacterium haemolyticum CH06-BL,AP019312.1,2030410,2047137,9.59,1,1,1,1,1,
Chromobacterium haemolyticum CH06-BL,NZ_AP019312.1,2030449,2047137,9.59,1,1,1,1,1,
Chromobacterium haemolyticum DSM 19808,NZ_KL543995.1,180311,197154,9.59,1,1,1,1,1,
Chromobacterium haemolyticum Bb2,NZ_CP061849.1,1990394,2007082,9.59,1,1,1,1,1,
Chromobacterium haemolyticum Bb2,CP061849.1,1990355,2007082,9.59,1,1,1,1,1,
Chromobacterium haemolyticum T124,NZ_JRFR01000015.1,141364,158238,9.59,1,1,1,1,1,
Chromobacterium haemolyticum IR17,NZ_LXRL01000073.1,77035,93877,9.54,1,1,1,1,1,
Chromobacterium haemolyticum H5244,NZ_MUKV01000003.1,29710,46700,9.59,1,1,1,1,1,
Chromobacterium haemolyticum H5244,MUKV01000003.1,29671,46700,9.59,1,1,1,1,1,
Chromobacterium haemolyticum H3973,MUKT01000001.1,138355,154788,9.54,1,1,1,1,1,
Chromobacterium haemolyticum H3973,NZ_MUKT01000001.1,138394,154788,9.54,1,1,1,1,1,
Chromobacterium haemolyticum H4137,NZ_MUKU01000002.1,197973,214653,9.59,1,1,1,1,1,
Chromobacterium haemolyticum H4137,MUKU01000002.1,197934,214653,9.59,1,1,1,1,1,
Chromobacterium haemolyticum,NZ_JBBIGS010000028.1,3440,13127,7.38,0,1,1,1,1,
Chromobacterium sp. Panama,NZ_QARX01000001.1,2222837,2239391,9.59,1,1,1,1,1,
Chromobacterium sp. IRSSSOUMB001,NZ_JALCYU010000011.1,175772,192646,9.59,1,1,1,1,1,
Chromobacterium sp. Rain0013,CP031514.1,2877404,2894286,9.59,1,1,1,1,1,
Chromobacterium sp. Rain0013,NZ_CP031514.1,2877443,2894286,9.59,1,1,1,1,1,
Chromobacterium sp.,NZ_JAYSGF010000017.1,45667,62455,9.59,1,1,1,1,1,
Chromobacterium sp. LK1,NZ_LDUI01000035.1,15564,32342,9.59,1,1,1,1,1,
Chromobacterium sp. LK1,LDUI01000035.1,15564,32342,9.59,1,1,1,1,1,
Chromobacterium sp. Beijing,NZ_CP053750.1,1681997,1698626,9.55,1,1,1,1,1,
Chromobacterium sp. Beijing,CP053750.1,1681997,1698626,6.45,1,1,0,1,1,
Chromobacterium sp. LK11,NZ_LDUR01000001.1,7458,23905,9.59,1,1,1,1,1,
Chromobacterium sp. LK11,LDUR01000001.1,7458,23905,9.59,1,1,1,1,1,
Chromobacterium sp. S0633,NZ_JAMZGH010000049.1,40916,46183,5.23,0,0,1,1,1,
Chromobacterium fluminis HSC-31F16,JAAOMA010000026.1,38403,54944,9.59,1,1,1,1,1,
Chromobacterium fluminis HSC-31F16,NZ_JAAOMA010000026.1,38403,54905,9.59,1,1,1,1,1,
Chromobacterium aquaticum CGMCC 4.7608,NZ_JBHSEK010000006.1,215008,231804,9.59,1,1,1,1,1,
Chromobacterium aquaticum DSM 19852,NZ_JAJOHW010000029.1,6023,11358,5.23,0,0,1,1,1,
Chromobacterium rhizoryzae 32279,NZ_CP066126.1,2211176,2227727,9.59,1,1,1,1,1,
Chromobacterium rhizoryzae JP2-74,NZ_CP031968.1,1944714,1961588,9.59,1,1,1,1,1,
Chromobacterium rhizoryzae JP2-74,CP031968.1,1944675,1961588,9.59,1,1,1,1,1,
Chromobacterium alkanivorans S00296,NZ_JANUCN010000014.1,33919,50530,9.59,1,1,1,1,1,
Chromobacterium alkanivorans S00172,JANUCI010000013.1,33919,50530,9.59,1,1,1,1,1,
Chromobacterium alkanivorans S00172,NZ_JANUCI010000013.1,33958,50530,9.59,1,1,1,1,1,
Chromobacterium alkanivorans S00115,JANUCH010000013.1,33919,50530,9.59,1,1,1,1,1,
Chromobacterium alkanivorans S00115,NZ_JANUCH010000013.1,33958,50530,9.59,1,1,1,1,1,
Chromobacterium alkanivorans IITR-71,NZ_JAFHKL010000005.1,34153,50711,9.59,1,1,1,1,1,
Photorhabdus asymbiotica,FM162591.1,1044635,1058664,5.55,1,1,1,0,0,
Photorhabdus asymbiotica,NC_012962.1,1044677,1058664,5.55,1,1,1,0,0,
Photorhabdus asymbiotica,NZ_CAWQMT010000003.1,39897,53884,5.55,1,1,1,0,0,
Photorhabdus asymbiotica DSM 15149,NZ_RBLJ01000003.1,39897,53884,5.55,1,1,1,0,0,
Photorhabdus asymbiotica subsp. asymbiotica ATCC 43949,FM211056.1,21909,35938,5.55,1,1,1,0,0,
Photorhabdus cinerea,NZ_CAWPIB010000001.1,114733,128754,5.56,1,1,1,0,0,
Photorhabdus cinerea DSM 19724,NZ_PUJW01000001.1,114733,128754,5.56,1,1,1,0,0,
Photorhabdus australis subsp. thailandensis,NZ_CAWMQZ010000005.1,21901,35881,5.54,1,1,1,0,0,
Photorhabdus australis subsp. thailandensis PB68.1,NZ_LOMY01000005.1,21901,35881,5.54,1,1,1,0,0,
Photorhabdus australis subsp. thailandensis PB68.1,LOMY01000005.1,21901,35881,5.55,1,1,1,0,0,
Photorhabdus australis DSM 17609,NZ_CAWLTP010000021.1,48550,62445,5.55,1,1,1,0,0,
Photorhabdus australis DSM 17609,NZ_JONO01000026.1,48550,62445,5.55,1,1,1,0,0,
Halioxenophilus aromaticivorans KU68F,NZ_AP031496.1,3832996,3849512,9.50,1,1,1,1,1,
Halioxenophilus aromaticivorans JCM 19134,NZ_BAABLX010000029.1,58562,75078,9.50,1,1,1,1,1,
Bowmanella denitrificans JCM 13378,NZ_BAAAEI010000006.1,1006950,1023297,9.51,1,1,1,1,1,
Bowmanella denitrificans JL63,NZ_PEBU01000004.1,200320,216667,9.51,1,1,1,1,1,
Xenorhabdus lircayensis,NZ_CAWPUD010000029.1,60170,77019,9.61,1,1,1,1,1,
Xenorhabdus lircayensis VLS,NZ_JACOII010000031.1,60170,77019,9.61,1,1,1,1,1,
Enterobacteriaceae bacterium,JAIRVT010000023.1,296,14306,7.52,1,1,1,1,0,
Paraglaciecola sp.,NZ_JBBKXH010000008.1,42433,59244,9.49,1,1,1,1,1,
Pseudoalteromonas aurantia S3790,NZ_PNBX01000116.1,25313,41513,9.42,1,1,1,1,1,
Pseudoalteromonas aurantia S3788,NZ_PNBY01000067.1,3042,12653,7.27,0,1,1,1,1,
Pseudoalteromonas aurantia S3895,NZ_PNBW01000055.1,36287,45898,7.27,0,1,1,1,1,
Agrobacterium sp. ST15.13.013,NZ_JAQKGP010000006.1,19150,35232,6.36,1,1,0,1,1,
Agrobacterium sp. LMR679,NZ_JAPVOJ010000002.1,2569156,2585610,4.21,1,0,0,1,1,
Agrobacterium sp. T29,NZ_CP040640.1,1175112,1191573,9.42,1,1,1,1,1,
Agrobacterium sp. CNPSo 2736,RZTX01000002.1,164668,181138,6.36,1,1,0,1,1,
Agrobacterium sp. CNPSo 2736,NZ_RZTX01000002.1,164671,181138,9.41,1,1,1,1,1,
Agrobacterium sp. ST15.16.055,NZ_JAQKGN010000005.1,205025,221512,6.36,1,1,0,1,1,
Agrobacterium sp. LC34,NZ_LBHX02000001.1,1119458,1135927,9.41,1,1,1,1,1,
Agrobacterium sp. LC34,LBHX02000001.1,1119458,1135927,6.36,1,1,0,1,1,
Agrobacterium sp.,NZ_DAMAJE010000007.1,117589,134069,9.41,1,1,1,1,1,
Agrobacterium sp. V1,NZ_JAULSF010000001.1,1163264,1179726,9.41,1,1,1,1,1,
Agrobacterium sp. O3.4,NZ_JALPZP010000001.1,1120633,1137113,9.41,1,1,1,1,1,
Agrobacterium sp. ST15.13.095,NZ_JAQAHG010000001.1,223244,239706,9.41,1,1,1,1,1,
Agrobacterium sp. ST15.16.024,NZ_JAQKGO010000001.1,1393578,1410040,9.41,1,1,1,1,1,
Agrobacterium tumefaciens 17-1850B-1b,NZ_JAAMAZ010000037.1,154334,170802,9.42,1,1,1,1,1,
Agrobacterium tumefaciens 17-1850B-1b,JAAMAZ010000037.1,154334,170802,6.36,1,1,0,1,1,
Agrobacterium tumefaciens 17-1850-1d,NZ_JAAMBB010000052.1,154572,171040,9.42,1,1,1,1,1,
Agrobacterium tumefaciens 17-1850-1d,JAAMBB010000052.1,154572,171040,6.36,1,1,0,1,1,
Agrobacterium tumefaciens SJ003,NZ_CP048537.1,1148782,1165249,9.41,1,1,1,1,1,
Agrobacterium tumefaciens SJ003,CP048537.1,1148782,1165249,6.36,1,1,0,1,1,
Agrobacterium tumefaciens CFBP6623,NZ_CP039903.1,1165219,1181688,9.41,1,1,1,1,1,
Agrobacterium tumefaciens CFBP6623,CP039903.1,1165219,1181688,6.36,1,1,0,1,1,
Agrobacterium tumefaciens IIF1SW-B1,NZ_JABXYF010000002.1,176622,193293,9.41,1,1,1,1,1,
Agrobacterium tumefaciens IIF1SW-B1,JABXYF010000002.1,176622,193293,6.36,1,1,0,1,1,
Rhizobium sp. NFACC06-2,NZ_FMVA01000007.1,5538,22002,6.36,1,1,0,1,1,
Rhizobium sp. NFACC06-2,FMVA01000007.1,5538,22110,6.36,1,1,0,1,1,
Rhizobium sp. YIC5082,POYI01000006.1,375730,392217,6.36,1,1,0,1,1,
Rhizobium sp. SEMIA 4032,NZ_QERH01000001.1,863363,879809,6.38,1,1,1,0,1,
Rhizobium sp. SEMIA 4032,QERH01000001.1,863363,879809,4.33,1,1,0,0,1,
Rhizobium sp. AU243,NZ_QVNR01000001.1,139245,155711,9.41,1,1,1,1,1,
Rhizobium sp. AU243,QVNR01000001.1,139245,155711,6.36,1,1,0,1,1,
Rhizobium sp. Root651,NZ_LMHB01000012.1,673427,689844,9.41,1,1,1,1,1,
Rhizobium sp. Root651,LMHB01000012.1,673427,689844,9.41,1,1,1,1,1,
Agrobacterium leguminum ST07.17.026,NZ_JAPZLT010000002.1,565723,582185,9.42,1,1,1,1,1,
Agrobacterium leguminum AT13,NZ_CP119971.1,1215852,1232313,6.36,1,1,0,1,1,
Agrobacterium salinitolerans YIC 5082,NZ_MRDH01000006.1,375730,392217,6.36,1,1,0,1,1,
Agrobacterium salinitolerans NCPPB 2657,NZ_JAAMOL010000005.1,1199866,1216354,6.36,1,1,0,1,1,
Agrobacterium salinitolerans DG3-1,NZ_CP074393.1,1129555,1146026,6.36,1,1,0,1,1,
Agrobacterium salinitolerans ST15.16.055,NZ_JAQJJO010000005.1,204792,221279,6.36,1,1,0,1,1,
Agrobacterium salinitolerans ST15.16.021,NZ_JAPZLO010000005.1,65099,81586,6.36,1,1,0,1,1,
Agrobacterium salinitolerans ST15.13.013,NZ_JAQJJP010000005.1,207099,216322,4.22,0,1,0,1,1,
Agrobacterium salinitolerans ST04.16.212,NZ_JAPZLV010000001.1,368770,377993,4.22,0,1,0,1,1,
Agrobacterium radiobacter SEMIA 4072,JACHBJ010000001.1,449245,465694,9.40,1,1,1,1,1,
Agrobacterium radiobacter SEMIA 4072,NZ_JACHBJ010000001.1,449248,465694,6.38,1,1,1,0,1,
Agrobacterium radiobacter SEMIA 4026,NZ_JACIHB010000001.1,449248,465694,6.38,1,1,1,0,1,
Agrobacterium radiobacter SEMIA 4026,JACIHB010000001.1,449248,465694,9.40,1,1,1,1,1,
Agrobacterium deltaense Zutra 3/1 Zutra 3-1,FBWG01000007.1,99991,116461,9.42,1,1,1,1,1,
Agrobacterium deltaense Zutra 3/1 Zutra 3-1,NZ_LT009748.1,1516694,1533161,9.42,1,1,1,1,1,
Hyphomicrobiales bacterium,JACESH010000001.1,65718,82205,6.36,1,1,0,1,1,
Agrobacterium tomkonis CFBP 6623,NZ_LT009723.1,1620590,1637616,6.39,1,1,1,0,1,
Agrobacterium tomkonis CFBP 6623,FBWK01000019.1,3336,12563,4.25,0,1,1,0,1,
Agrobacterium tomkonis RTP8,NZ_JAFIRM010000049.1,421563,438043,9.41,1,1,1,1,1,
Agrobacterium tomkonis IIF1SW-B3,NZ_JABXYG010000002.1,237937,254608,9.41,1,1,1,1,1,
Agrobacterium tomkonis IIF1SW-B3,JABXYG010000002.1,237937,254608,6.36,1,1,0,1,1,
Agrobacterium tomkonis IIF1SW-B4,NZ_JABXYH010000003.1,176622,193293,9.41,1,1,1,1,1,
Agrobacterium tomkonis IIF1SW-B4,JABXYH010000003.1,176622,193293,6.36,1,1,0,1,1,
Rhizobium rhizogenes ST15.16.020,NZ_JAPYZY010000010.1,54680,71161,9.41,1,1,1,1,1,
Rhizobium rhizogenes ST07.17.004,NZ_JAPZAC010000003.1,55809,72289,9.41,1,1,1,1,1,
Rhizobium rhizogenes ST07.17.029,NZ_JAPZAA010000008.1,182647,199127,9.41,1,1,1,1,1,
Rhizobium rhizogenes ST04.16.045,NZ_JAPZAD010000001.1,1409562,1426024,9.41,1,1,1,1,1,
Rhizobium rhizogenes GBBC3284,NZ_SGNY01000001.1,850220,866682,9.41,1,1,1,1,1,
Rhizobium rhizogenes GBBC3284,SGNY01000001.1,850220,866682,6.36,1,1,0,1,1,
Rhizobium rhizogenes ST15.16.024,NZ_JARGYQ010000001.1,1393477,1409939,9.41,1,1,1,1,1,
Agrobacterium cucumeris O132,NZ_CP080387.1,1207138,1223618,9.41,1,1,1,1,1,
Pseudoalteromonas sp. A25,NZ_AP021846.1,735863,752256,9.37,1,1,1,1,1,
Pseudoalteromonas sp. A25,AP021846.1,735863,752256,9.37,1,1,1,1,1,
Pseudoalteromonas sp. S16_S37,NZ_JAAUWV010000001.1,160536,170181,7.27,0,1,1,1,1,
Nostoc sp. UHCC 0252,NZ_JAYGHE010000080.1,8468,19275,4.15,0,1,0,1,1,
Nostoc sp. MG11,NZ_JACXXN010000001.1,473144,488479,5.14,0,1,0,2,1,
Komarekiella atlantica HA4396-MV6,JAHHHK010000006.1,189081,204529,5.18,0,1,0,2,1,
Janthinobacterium fluminis hw3,NZ_JAQQXR010000003.1,469814,479325,7.38,0,1,1,1,1,
Massilia sp. W12,NZ_CP147776.1,1598824,1608548,7.37,0,1,1,1,1,
Desulfobacteraceae bacterium,QZKK01000152.1,2211,14237,4.15,0,1,0,1,1,
Calothrix sp. FI2-JRJ7,JAHHGX010000015.1,39888,54006,4.16,0,1,0,1,1,
Nostoc sp. ChiQUE01b,NZ_JAVRBM010000028.1,12726,27373,4.16,0,1,0,1,1,
Nostoc sp. ChiQUE01b,JAVRBM010000028.1,12732,27373,4.16,0,1,0,1,1,
Komarekiella delphini-convector SJRDD-AB1,NZ_VJXY01000032.1,59682,75052,5.18,0,1,0,2,1,
Komarekiella delphini-convector SJRDD-AB1,VJXY01000032.1,59682,75052,5.18,0,1,0,2,1,
Nostoc sp. (2019) B,WVID01000005.1,240063,255386,5.18,0,1,0,2,1,
aff. Roholtiella sp. LEGE 12411,NZ_CAWPSC010000218.1,20452,35824,5.18,0,1,0,2,1,
aff. Roholtiella sp. LEGE 12411,NZ_JADEXR010000044.1,20452,35824,5.18,0,1,0,2,1,
Pseudoalteromonas sp. CIP111854,NZ_CAMAPC010000001.1,396362,405996,7.27,0,1,1,1,1,
Pseudoalteromonas sp. CIP111951,NZ_CAMAPD010000002.1,140737,150371,7.27,0,1,1,1,1,
Pseudoalteromonas caenipelagi JBTF-M23,NZ_JABBPG010000007.1,198869,208529,7.27,0,1,1,1,1,
Tolypothrix carrinoi HA7290-LM1,JAHHIK010000094.1,4849,17542,4.13,0,1,0,1,1,
